"","x"
"1482","RT @TheRickyDavila: Remember this ladies and gentlemen, whatever #Trump and his family do, where the travel, how they travel, it is all car…"
"1483","I am delighted with #Trump's appointment of #ScottPruitt to the #EPA
Maybe the agency will decide 2 worry about the… https://t.co/whhPpdEYPC"
"1484","RT @StopTrump2020: I don't believe for a minute #Trump cares about anyone who is not a millionaire. He doesn't understand the struggles of…"
"1485","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1486","RT @BeyondPizzaGate: .@BeyondPizzaGate #trump Leaked List Of All Donors Who Fund The Clinton Foundation #BeyondPizzaGate https://t.co/iANaN…"
"1487","RT @onenewsnowcom: Hillary lost Electoral College, so Dems want popular vote @MorningConsult @politico @ClemsonUniv #Election2016 https://t…"
"1488","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1489","RT @BrexitNoww: #Trump is #right!’ #Police say #partsof #Britain ARE #nogoareas due to #ISIS #radicalisation #FIX THIS #GOV!#BREXIT
 https:…"
"1490","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1491","Bolton apparently wasn't hired because his brush-like stache wasn't to the likings of #Trump,but blaming the media… https://t.co/MFAhGHcF1g"
"1492","RT @BerniedOut: #Trump voters got hoodwinked. Conned by the con man we told you he was. But emails. Black people being uppity. Gay people g…"
"1493","Ok, this is #creepy let's hope our @StateDept stands strong like @ENERGY did! #Trump #WarOnWomen https://t.co/AvLdQD2WVp"
"1494","Trump White House Counselor Kellyanne Conway Promises Traditional Press Access - https://t.co/dsH1AGUTLU - #USPolitics #trump #clinton"
"1495","Trump’s appointments have resulted in a lot of white men in top jobs https://t.co/D2L6lTUP17 SWAMP 2 SEPTIC TANK! @realDonaldTrump #Trump"
"1496","SAN FRANCISCO - The latest #Trump Pence Social Media™ @SocialNewsCorp! https://t.co/c673tSmnNw #trump"
"1497","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1498","RT @drudgeheadlines: #TRUMP #FLEXES #NUKE STRENGTH https://t.co/xszKEM78Uj"
"1499","Boo hoo, no one will play at President Tiny Hands Inauguration Party...well, that what being a tool get you.

#Murica #Trump"
"1500","RT @JxhnBinder: While the mainstream media is claiming Ivanka #Trump was ""confronted"" on Jet Blue flight, this is #MattLasner openly callin…"
"1501","RT @funder: @RepAdamSchiff this is the file of ACTIVE #Trump companies in 30+ countries!

RT to show the congressman WE HAVE THE PROOF HERE…"
"1502","RT @FoxBusiness: Boeing CEO vows to build new Air Force One for less after #Trump complaints  https://t.co/k0ieYB1qkP"
"1503","2016 has been a shocker but im worried 2017 will be worse. #brexit #trump #inflation etc <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>"
"1504","Trump gropes weed plant.... https://t.co/TT7ShU5BJL
#Weed #wintersolstice #TrumpLeaks #Trump #alanpardew https://t.co/C3kfbtcMXc"
"1505","RT @rollingitout: Before Matt Lasner could delete I scored his phone number &amp; information. Have Fun! #JetBlue #MAGA #Trump https://t.co/vcs…"
"1506","RT @Annimallover: #trump camp knew about #Weiner emails before it was released 2 public a violation of #hatch act https://t.co/D0Am4aZHnJ"
"1507","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1508","RT @true_pundit: VIDEO: Highlights From the Anti-Trump Electoral College Tantrums #Trump #TruePundit

https://t.co/uKsDv4x0Q0"
"1509","RT @akrockefeller: The latest ITS guerilla cultural! https://t.co/aDsSGxbSh4 Thanks to @mnxmoosi @bedlamfury @Black_Mask80 #trump #rapecult…"
"1510","#Trump #MAGA #Donald #TRUMP2016 #Christmas Ornament #Limited #Anonymous  #2a #republican https://t.co/DknhUAkUtY"
"1511","RT @DavidRomeiPHD: To #Republicans and #Trump #Fascists:
WE WILL NEVER FORGET.
#Democrats who do not fight you, obstruct you and filibuster…"
"1512","Best Sellers Books by Donald J Trump
Click https://t.co/7elcmdr9aI to check them out

#Trump #MAGA #USA #Motivation… https://t.co/e3o3qNKCkc"
"1513","Donald Trump and Vladimir Putin agree: Let's revive the nuclear arms race https://t.co/ZX55wBe10s #TRUMP #Putin #NuclearArms"
"1514","#Trump's will to strenghten nuke arsenal gives a helping hand to #Putin's supernuke plans. Are START agreements... https://t.co/8SMJT6Z8AV"
"1515","RT @JxhnBinder: While the mainstream media is claiming Ivanka #Trump was ""confronted"" on Jet Blue flight, this is #MattLasner openly callin…"
"1516","This will become increasingly (and dangerously) important as #trump moves forward. https://t.co/fPET4RwOrE"
"1517","Interesting read #Putin #Trump #ColdWar #Russia #USA https://t.co/49BUBQuiCU"
"1518","How #Russia surpassed Germany to become the racist ideal for #Trump-loving white supremacists | By @cjcmichel
https://t.co/gJGaIpTVom"
"1519","Oh joy #trump #russia https://t.co/8BhnnNtlWL"
"1520","#Trump's will to strenghten nuke arsenal gives a helping hand to #Putin's supernuke plans. Are START agreements at… https://t.co/6vXUR9uQwb"
"1521","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1522","FBI warrant relates to a “criminal investigation” of #Clinton.

#Trump https://t.co/1RYCwptkMg"
"1523","RT @JxhnBinder: While the mainstream media is claiming Ivanka #Trump was ""confronted"" on Jet Blue flight, this is #MattLasner openly callin…"
"1524","Damn nuclear #Trump STFU. One president at a time. Stop stepping on toes you dimwit."
"1525","Dear 2017, 

Thank God your here!

Nothing can be worse than the last 8 years!

#MAGA
#AmericaFirst
#Trump… https://t.co/tSZ3UeAdqA"
"1526","RT @SilverAdie: Traitor #Trump robbed 65 Million people of their future so now he's one of the most hated men in America!Must be unsettling…"
"1527","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1528","RT @TheAdvocateMag: Another fashion icon refuses to get on #Trump train: https://t.co/4FpS4DxAwh @voguemagazine https://t.co/6HSoTkiNdS"
"1529","RT @funder: @RepAdamSchiff this is the file of ACTIVE #Trump companies in 30+ countries!

RT to show the congressman WE HAVE THE PROOF HERE…"
"1530","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1531","#Trump I wasn't aware he had a winery but I do now! Learn so much on Twitter but run across issues with certain und… https://t.co/MdP9znDn65"
"1532","Ok #trump supporters. This tweet is what's called counterintuitive because it'll cause other nations to seek to arm… https://t.co/ZeSKobTNLs"
"1533","RT @FoxBusiness: No President #Trump on DC's commemorative Inauguration metro cards https://t.co/cYn9zrkXHV"
"1534","RT @JxhnBinder: While the mainstream media is claiming Ivanka #Trump was ""confronted"" on Jet Blue flight, this is #MattLasner openly callin…"
"1535","Cross returns to Indiana Christmas tree despite efforts to see it banished - #tcot #MAGA #Trump https://t.co/4Dx8Bf6soR"
"1536","RT @funder: @RepAdamSchiff we want to intro you to #TrumpLeaks-most complete archive of #Trump scandals-EVERYONE RT this let's show him we…"
"1537","RT @funder: #TrumpLeaks on Trump's International business ties today starting now

#Trump has an active company in Croatia

#amjoy #msnbc #…"
"1538","RT @JuliaDavisNews: Donald #Trump and Vladimir #Putin agree: Let’s revive the nuclear arms race.
Is there anything they don't agree on? 
ht…"
"1539","@realDonaldTrump Dems and Rep supporters both being played. His tweets are small ADs. Think about what they are intended to do. #trump"
"1540","RT @Starseed52: #Netanyahu sees opportunity for 'historic changes' with #Trump administration https://t.co/IfFr9BxVl7 
#FreePalestine"
"1541","#trump camp knew about #Weiner emails before it was released 2 public a violation of #hatch act https://t.co/D0Am4aZHnJ"
"1542","RT @JerryCallaio: Biggest Threat 2 America &amp; Democracy Is The #Fascist #Republican Party&gt; Founding Fathers Warned Us That #Domestic #Terror…"
"1543","RT @JuliaDavisNews: Donald #Trump and Vladimir #Putin agree: Let’s revive the nuclear arms race.
Is there anything they don't agree on? 
ht…"
"1544","RT @drudgeheadlines: #Trump calls for expanded #US #nuke capability until 'world comes to its senses'... https://t.co/hVmfNVw1Y7"
"1545","RT @BTLRadioNews: #ICYMI #Trump adviser Flynn met with leader of party founded by ex-Nazis https://t.co/8J50o4Ym22 via @msnbc"
"1546","#Trump #PutinPuppet <ed><U+00A0><U+00BD><ed><U+00B8><U+00A8>  United States Government has been over-thrown by #Russia within it's Intel #FBI #Comey… https://t.co/nrBsX2h36z"
"1547","RT @DonnaDeFazio: #BenedictDonald BRILLIANT! #Trump is a traitor and the sheep who voted for him are too stupid to know it. Sad!  #PutinsPu…"
"1548","it is time #iran is brought to justice 4 its terror committed against its neighbours, #Expel_Iran_From_OIC https://t.co/gMeKGi3J8I #Trump"
"1549","@mophorex Actually, it will become a miserable ride for the Trump's and all Americans when #Trump family loots economy &amp; destroy <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> standing."
"1550","RT @BarbMuenchen: Fun fact in 49 States not including California, #Trump received 1.2 million MORE votes than #HillaryClinton <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>Thats called…"
"1551","RT @WomenStopTrump: Rt if you support LGBT Rights! 
get yours here : https://t.co/IA0S5UjMeP
#RepealHB2 #LGBTQ #NoH8 #Trump https://t.co/p5…"
"1552","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1553","@JennaLeeTV  Stick with Acting... Maybe not you are not a good actor either. we love #trump and you are just a bump in the road of life"
"1554","RT @marcylauren: #Trump needs to be impeached - conficts of interest all over the world - major ties to Russia and Putin https://t.co/whpCe…"
"1555","RT @drudgeheadlines: #TRUMP #FLEXES #NUKE STRENGTH https://t.co/xszKEM78Uj"
"1556","RT @robinsnewswire: ""President #Trump News: #Trump names Sean Spicer as #WhiteHouse press secretary #News"" : https://t.co/EzkpcEtsoe"
"1557","RT @BTLRadioNews: #Sessions Nomination for Attny Gen. Among #Trump's Most Dangerous Cabinet Picks: Intvw w @DrewCourt of @peoplefor https:/…"
"1558","RT @dawnstotlar: #Corruption is legal?? Well HELL!
No need for #laws! Just violate them
publicly, then it's #Legal!
It does work for #Trump…"
"1559","https://t.co/AqqhdODZ41 #JohnLegend waffles on #kanye meeting #Trump https://t.co/fJZqsEacZg"
"1560","What do you expect the markets to do if #Trump does engage in a trade war with China? #CheddarLIVE"
"1561","THERE U GO #US #DONALDTRUMP #FANATICS: #Trump WANTS to 'greatly strengthen &amp; expand' #nuclearweapons capability https://t.co/F1Y5CmfxaO"
"1562","RT @funder: @RepAdamSchiff this is the file of ACTIVE #Trump companies in 30+ countries!

RT to show the congressman WE HAVE THE PROOF HERE…"
"1563","Yeah. #Trump has a fucking obsession with nukes. LOTS OF PEOPLE TRIED TO WARN US. https://t.co/MiskX7imfz"
"1564","""President #Trump News: #Trump names Sean Spicer as #WhiteHouse press secretary #News"" : https://t.co/EzkpcEtsoe"
"1565","""President #Trump News: #Trump And Gingrich Disagree On That Whole Swamp-Draining Thing #News"" : https://t.co/8r8XwfrjHj"
"1566","RT @KitDaniels1776: Prince Charles Ignores Family’s Pro-Nazi Past When Comparing #Trump to Hitler https://t.co/TFg93jJhvx @DRUDGE #altright…"
"1567","""President #Trump News: ‘This Man Has a High Level of Political Sensibility’: Saddam Hussein’s Daughter Pr...: https://t.co/seekEaW9zc"
"1568","""President #Trump News: Newt Gingrich posts video correcting himself on #Trump’s efforts to ‘drain the swamp...: https://t.co/fDkba3iiTR"
"1569","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1570","RT @BrexitNoww: #Trump is #right!’ #Police say #partsof #Britain ARE #nogoareas due to #ISIS #radicalisation #FIX THIS #GOV!#BREXIT
 https:…"
"1571","RT @castironstraw: @bi_politics #Trump applying a tariff to his own imports? That'll be the day!"
"1572","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1573","RT @JerryCallaio: Biggest Threat 2 America &amp; Democracy Is The #Fascist #Republican Party&gt; Founding Fathers Warned Us That #Domestic #Terror…"
"1574","RT @carrieksada: After all of her hard work on the #Trump campaign, @KellyannePolls will be serving as Counselor to the President. Bravo Ke…"
"1575","RT @drudgeheadlines: #Trump calls for expanded #US #nuke capability until 'world comes to its senses'... https://t.co/hVmfNVw1Y7"
"1576","RT @HellBlazeRaiser: Retweet if you had 100% confidence from day one that #Trump with be our 45th POTUS.
#PresidentElectTrump"
"1577","RT @Trump_Commander: #Hillary Supporter Arrested For Arson Hate Crime Intended To Demonize #Trump Supporters #o4a #news https://t.co/e9nULx…"
"1578","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1579","Donald Trump Says He Still Wants to ‘Drain the Swamp’ #donald #trump #still #wants #drain #swamp… https://t.co/saYuTH4tsD"
"1580","(NPR) #Trump And #Gingrich Disagree On That Whole Swamp-Draining Thing : Former House.. https://t.co/7GaMjVhV0T https://t.co/gvsQV6x6FP"
"1581","I stayed up election night sharing facts &amp; perspectives on markets &amp; elections. https://t.co/5nuRm8cHVn #investing… https://t.co/TJjsukriCf"
"1582","RT @NowThinkAgain: #Hillary brainwashed weakminded #Democrats = #LiberalRadicalTerrorist #Trump #StrongerTogether #ImWithHer #MattLasner #D…"
"1583","Republicans Seeking Immediate Cuts to Social Security? Not So Fast https://t.co/rBVmdTiDny #election2016"
"1584","Trump Announces Press Secretary, Communications Director https://t.co/9yBIUiLBBl #election2016"
"1585","RT @Rachismo1: #MattLasner As someone who didn't vote for #Trump I would of slapped the taste out of your mouth. She isn't her father leave…"
"1586","@MakeANoteOfThat @AlbertBrooks Trump tweets and all the haters run around yelling, ""the sky is falling!"" - would you prefer that?
#TRUMP"
"1587","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1588","RT @NowThinkAgain: #Hillary brainwashed weakminded #Democrats = #LiberalRadicalTerrorist #Trump #StrongerTogether #ImWithHer #MattLasner #D…"
"1589","RT @CaptialBusLoan: RT - Matthew Lasner Daniel Goldstein Attacking @IvankaTrump #maga #trump @Bikers4Trump @HunterPresident https://t.co/6L…"
"1590","RT @BeyondPizzaGate: .@BeyondPizzaGate #trump Leaked List Of All Donors Who Fund The Clinton Foundation #BeyondPizzaGate https://t.co/iANaN…"
"1591","RT @TrumpIsTheTrue: MEXICO URGES ILLEGAL ALIEN INVADERS TO APPLY FOR CITIZENSHIP BEFORE #TRUMP TAKES OFFICE #o4a #news https://t.co/VM3SzvV…"
"1592","@realDonaldTrump ""Nuclear is just the power. Its the DEVASTATION that is important"" #trump #nukes https://t.co/iTbVcZvetw via @RollingStone"
"1593","#CNN #Trump #Inauguration @BorisEP just admit you're having trouble finding people who want to celebrate Trump #funny #loser #embarrasment"
"1594","Donald #Trump and Vladimir #Putin agree: Let’s revive the nuclear arms race.
Is there anything they don't agree on? 
https://t.co/N04JzCEnId"
"1595","RT @iphoneart101: #FireMattLasner @HunterCollege if this happened to be a #straight #Republican #whitemale he would have been fired from @H…"
"1596","It found a new venue I see. #DC #Trump https://t.co/1ZhsOyXbj2"
"1597","RT @NowThinkAgain: #Hillary brainwashed weakminded #Democrats = #LiberalRadicalTerrorist #Trump #StrongerTogether #ImWithHer #MattLasner #D…"
"1598","RT @rafshmatko: We stand with #Trump! #MakeAmericaGreatAgain  #RealDonaldTrump #MAGA #Trump #TrumpTrain #USA #world #shmatko https://t.co/l…"
"1599","#trump has EVERY SINGLE SYMPTOM of mental illness! https://t.co/XEB551iwbD"
"1600","@realDonaldTrump When you meet with foreign leaders, be https://t.co/U4SAK83zbK represent the #USA. NOT #Trump not #altright."
"1601","RT @LinesnCircles: ""There are no safeguards to verify that the person issuing the order is actually sane"" https://t.co/DW9YK7UhtZ #Trump ht…"
"1602","RT @Sputnik_Not: #Putin and #Trump agree the best way to support nuclear non-proliferation efforts is to get more #nuclear weapons https://…"
"1603","After 16 years of wrong policy, the policy of appeasement has to come to an end
#StandWithAleppo #Iran https://t.co/KRag1bov8G #Trump"
"1604","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1605","RT @marcylauren: #Trump needs to be impeached - conficts of interest all over the world - major ties to Russia and Putin https://t.co/whpCe…"
"1606","RT @MikeLevinCA: I just sent a letter and Christmas gift to my Rep @DarrellIssa.  It's the book ""Climate Change for Beginners"" #Trump #Clim…"
"1607","#BREAKING @Rockettes to perform at #Trump inauguration. Half naked women dancing for Trump...yeah that sounds about right."
"1608","RT @NewsRepublicans: MEXICO URGES ILLEGAL ALIEN INVADERS TO APPLY FOR CITIZENSHIP BEFORE #TRUMP TAKES OFFICE #o4a #news https://t.co/kkGSi1…"
"1609","RT @_RealValentina_: Bye @Bourdain. RT this to all #Trump supporters so they don't watch him on TV or buy any books. Boycott his friends to…"
"1610","We need to shut. these. people. down. #Versailles will not come to my country &amp; nuke the world. #FuckTrump #Trump… https://t.co/Rza2hCuuzx"
"1611","So much for the HR Dept. Welcome to P-elect #Trump's 'job destruction program'. 
https://t.co/VDwc1uuZPL"
"1612","Why President Trump Will Continue to Hold Rallies #Trump #trumprallies #democracy #tfp https://t.co/S4extpwxhv https://t.co/Q849rkl0S8"
"1613",". For all the Truthtellers who said #Trump would win, this is for all of us.
#America
#MAGA
appsame https://t.co/kmFYfGG3Qx"
"1614","EVEN Bernie admitted Hillary Clinton is fact in point an innovative and strong leader. https://t.co/G0MgoYVNRC #hillaryclinton #trump"
"1615","RT @JerryCallaio: Biggest Threat 2 America &amp; Democracy Is The #Fascist #Republican Party&gt; Founding Fathers Warned Us That #Domestic #Terror…"
"1616","I will be unable to attend or watch the #Trump inauguration because I have to scrub the toilet that day .What's your excuse ?"
"1617","RT @lindalou07: Hate #Trump all you want but going after his daughter and grandkids makes you a low life asshole. #MatthewLasner #DanGoldst…"
"1618","#trump admin has NO mandate. We can stop repeal of ACA, oil agenda. Be heard!  #catdjt #theresistance https://t.co/KIiClYcrRm"
"1619","RT @Salansar1: #Trump picks @seanspicer as @WhiteHouse  press secretary, @JasonMillerinDC as communications director.  
https://t.co/apmC8I…"
"1620","RT @JxhnBinder: While the mainstream media is claiming Ivanka #Trump was ""confronted"" on Jet Blue flight, this is #MattLasner openly callin…"
"1621","RT @CaptialBusLoan: RT - Matthew Lasner Daniel Goldstein Attacking @IvankaTrump #maga #trump @Bikers4Trump @HunterPresident https://t.co/6L…"
"1622","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1623","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1624","RT @funder: #Trump must divest all his businesses-Congressman Adam Schiff explains why &amp; the Constitutions Emoluments Clause #TrumpLeaks #a…"
"1625","RT @CaptialBusLoan: RT - Matthew Lasner Daniel Goldstein Attacking @IvankaTrump #maga #trump @Bikers4Trump @HunterPresident https://t.co/6L…"
"1626","#Corruption is legal?? Well HELL!
No need for #laws! Just violate them
publicly, then it's #Legal!
It does work for… https://t.co/xot9MC5iqj"
"1627","@SarahPalinUSA   Yo Nanook of the North, the Wasilla Wuss:  remember DRAINING THE SWAMP?  No worries, neither does #Trump!  Bait n' switch."
"1628","RT @funder: @RepAdamSchiff we want to intro you to #TrumpLeaks-most complete archive of #Trump scandals-EVERYONE RT this let's show him we…"
"1629","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1630","IEEFA energy swamp watch: An oil-industry bailout is in the works in Washington https://t.co/s6IrwvuWEy #energy #oil #Trump #draintheswamp"
"1631","Maggie comes fleet foot #politics #election #president #trump #hillary"
"1632","RT @RepCohen: I'll be on @MSNBC tomorrow morning during the 9am CT/10am ET hour to discuss #RussiaHacking and #Trump transition. Tune in! #…"
"1633","Finally, a pres who cares about costs! https://t.co/xl0c9kbaQl
@realDonaldTrump @KellyannePolls #trump #maga #tcot https://t.co/KbO01SkW1u"
"1634","I cannot believe the level liberal are stooping, STILL, to try and influence people against #TRUMP.  They are... https://t.co/ju4eIk5Vcy"
"1635","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1636","RT @EcoInternet3: #Trump can’t deny #climate change without a fight: Washington Post https://t.co/y1D1AzOYAU #environment More: https://t.c…"
"1637","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1638","RT @Greg_Palast: How did #Trump steal the election? I break it down for @PaulJay_TRNN of @TheRealNews https://t.co/WUrL1h07vB https://t.co/…"
"1639","RT @carrieksada: After all of her hard work on the #Trump campaign, @KellyannePolls will be serving as Counselor to the President. Bravo Ke…"
"1640","RT @funder: #TrumpLeaks on Trump's International business ties today starting now

#Trump has an active company in Croatia

#amjoy #msnbc #…"
"1641","RT @JacloPac: #Trump: It's official, let's get started we've got a lot to divvy up.. https://t.co/e4JKBC7Fy2"
"1642","#Trump voters got hoodwinked. Conned by the con man we told you he was. But emails. Black people being uppity. Gay… https://t.co/OHX2aIWSR5"
"1643","RT @Rachismo1: #MattLasner As someone who didn't vote for #Trump I would of slapped the taste out of your mouth. She isn't her father leave…"
"1644","RT @funder: Then I uncovered a $500,000 contribution-to same FL AG acct #Trump Foundation bribe went to. #TrumpLeaks #ThursdayThought #msnb…"
"1645",".@WashTimes :#Iran brutalizing #Aleppo,executing 'most atrocious war crimes' of 21st century:https://t.co/DWjagw1gXC … #Europe #UNSC #Trump"
"1646","RT @funder: @RepAdamSchiff we want to intro you to #TrumpLeaks-most complete archive of #Trump scandals-EVERYONE RT this let's show him we…"
"1647","RT @NowThinkAgain: #Hillary brainwashed weakminded #Democrats = #LiberalRadicalTerrorist #Trump #StrongerTogether #ImWithHer #MattLasner #D…"
"1648","#DrainTheSwamp I don't believe #Trump said he doesn't want to use the words Drain TheSwamp. Til I hear it from him, I don't believe Media."
"1649","Actually, Trump Says, the Swamp Will Be Drained https://t.co/2AHuHa0ZxM #Trump"
"1650","@StocksAlotTEMP 
You really need to get more on your mind than #Trump his children &amp; politics. They won't piss in your face to stop a fire!"
"1651","I reckon the chances of us going to war against America aren't inconceivable with #trump at the helm"
"1652","RT @MinaANDMaya: Why #fur Industry very pleased that #Trump is in White House. Trump sons trying to reband as 'animal agriculture'?! https:…"
"1653","RT @sarahal15586515: #DanGoldstein stalked #Ivanka. GoldsteinMate tweeted“MyHusband”was “chasing”#Trump &amp;herFamily down“2 harass .” #SUE ht…"
"1654","RT @funder: @RepAdamSchiff this is the file of ACTIVE #Trump companies in 30+ countries!

RT to show the congressman WE HAVE THE PROOF HERE…"
"1655","RT @UoNPressOffice: Dec 22 and our digital #adventcalendar review of  2016 turns to politics #trump @DrToddLandman @TheOfficialMRL https://…"
"1656","RT @carrieksada: After all of her hard work on the #Trump campaign, @KellyannePolls will be serving as Counselor to the President. Bravo Ke…"
"1657","RT @StopTrump2020: I don't believe for a minute #Trump cares about anyone who is not a millionaire. He doesn't understand the struggles of…"
"1658","RT @funder: #TrumpLeaks on Trump's International business ties today starting now

#Trump has an active company in Croatia

#amjoy #msnbc #…"
"1659","RT @mbvince: @TheDailyShow @ronnychieng #trump supporters if it hits too close to home maybe you know that your ideology is inherently wron…"
"1660","You believed Hillary was corrupt because GOP called her that, but couldn't believe #Trump was corrupt, when you were SHOWN he was.
<ed><U+00A0><U+00BD><ed><U+00B6><U+0095>#MAGA"
"1661","Excellent reflection on #brexit and #trump on #Tonight2016 and @tombradby. Let's hope all works out in 2017."
"1662","RT @cubanahumana: OH SH*T. We were hoping to fly under the radar, but here we go. #Trump #sexualviolence #GBV #VAW #VAWG #rape #aid https:/…"
"1663","#Clinton won #CA by 4.2M votes, #NY by 1.6M, popular vote by 2.8M! Outside #NY #CA, #Trump won popular vote by... https://t.co/ClJv6lSlwx"
"1664","#Trump ushers in the next phase of sustainable business | GreenBiz https://t.co/ikzCjDdn3X"
"1665","More #fakenews #EU #Merkel #Brexit #Trump #NWO #China #Soros #Hilary #Obama (you have a nice day now) https://t.co/dw3qSlyDK2"
"1666","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1667","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1668","Is there a place where Progressive Organizations are building up to fight #Trump have job openings/listings? That might be a good idea now."
"1669","RT @SpeedyFastMario: @BreitbartNews Who cares don't need ANY entertainers #Trump can just tell the Christmas story about how he torched Hil…"
"1670","RT @immigrant4trump: Trump: We're Going to Start Saying 'Merry Christmas' Again #MerryChristmas #Trump #Maga https://t.co/E2j6vPXcoZ"
"1671","RT @jamesnorth7: Let us pray that General James #Mattis, the new Secretary of State, stays healthy to talk some sense to #Trump. https://t.…"
"1672","RT @JacloPac: #Trump: It's official, let's get started we've got a lot to divvy up.. https://t.co/e4JKBC7Fy2"
"1673","RT @true_pundit: VIDEO: Highlights From the Anti-Trump Electoral College Tantrums #Trump #TruePundit

https://t.co/uKsDv4x0Q0"
"1674","RT @FoxBusiness: No President #Trump on DC's commemorative Inauguration metro cards https://t.co/cYn9zrkXHV"
"1675","People Are Freaking Out Over These  https://t.co/TRDTM137HH #Trump"
"1676","RT @afterexposure: Whats different from the '70's &amp; 80's? I don't see MAD as a viable control. Either #Trump goes first, or the US gets wha…"
"1677","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1678","RT @LiberalIsland: Sums up 2016 nicely .. #trump wants to expand the number of nuclear weapons 
#ukip #altright #idiots https://t.co/1JXmj5…"
"1679","RT @saul42: #CNN Ratings nosedive after fake and biased #Trump coverage - People are sick of crap https://t.co/wqG9YXI10u"
"1680","The Rockettes should make #Trump pay in advance."
"1681","RT @JesseWMorrell: I am more excited counting down for Obama to leave office than I am counting down for Christmas! #Obama #Trump #Inaugura…"
"1682","RT @NooneOfan: #Trump and the dangers for women https://t.co/KTibAYf2Uc"
"1683","RT @MoneyIsSpeech: @thedailybeast has the #Trump team tried 'A-List' Russian talent?  Just warn them, Trump never pays his bills in full."
"1684","RT @CaptialBusLoan: RT - Matthew Lasner Daniel Goldstein Attacking @IvankaTrump #maga #trump @Bikers4Trump @HunterPresident https://t.co/6L…"
"1685","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1686","RT @drudgeheadlines: #TRUMP #FLEXES #NUKE STRENGTH https://t.co/xszKEM78Uj"
"1687","The first 6 words would have sufficed!

#MAGA?

Donald #Trump struggling to secure talent to perform at inauguration https://t.co/62eJBtZEF9"
"1688","RT @SpeedyFastMario: @BreitbartNews Who cares don't need ANY entertainers #Trump can just tell the Christmas story about how he torched Hil…"
"1689","RT @JxhnBinder: While the mainstream media is claiming Ivanka #Trump was ""confronted"" on Jet Blue flight, this is #MattLasner openly callin…"
